"house_district","total_crashes","crashes_with_injuries","sum_injuries","sum_injuries_incapacitating","pedestrian_crashes","cyclists_crashes","hit_and_run_crashes","injuries_in_hit_and_run","total_fatalities","total_cyclist_fatalities","total_driver_fatalities","total_passenger_fatalities","total_pedestrian_fatalities","total_motorcyclist_fatalities","total_scooter_fatalities","estimated_economic_damages"
"1",21678,2714,3684,389,426,196,6922,796,30,3,11,4,12,0,0,1475215000
"10",33181,5964,8681,868,856,774,11614,2275,52,5,21,7,18,1,0,2896808000
"11",11462,1580,1849,200,345,534,2977,314,9,0,2,2,4,1,0,677483000
"12",14956,2033,2520,299,486,531,3695,460,12,0,6,3,3,0,0,934266000
"13",13020,1669,2014,200,381,486,3351,290,10,2,3,1,4,0,0,734010000
"14",13030,1467,1818,207,366,271,3677,285,10,1,3,2,3,1,0,719886000
"15",10884,1444,1894,234,175,180,2311,213,11,0,5,2,4,0,0,726701000
"16",8655,996,1238,142,204,176,2292,198,5,1,2,0,2,0,0,464988000
"18",1113,128,171,22,20,19,325,25,4,0,0,1,3,0,0,106256000
"19",18394,2275,2900,365,336,270,4655,411,25,4,9,5,5,2,0,1251416000
"2",581,59,87,12,0,1,115,12,0,0,0,0,0,0,0,29689000
"20",8571,1165,1519,198,129,84,1713,159,10,1,4,2,2,1,0,605393000
"21",1274,146,181,12,25,13,274,20,1,0,0,0,1,0,0,63745000
"22",16468,2072,2892,251,255,137,4411,425,33,5,11,4,8,5,0,1217253000
"23",13643,1796,2481,270,351,130,4765,616,20,0,6,3,11,0,0,980662000
"24",20623,2732,3568,394,473,386,5949,617,23,0,10,4,8,1,0,1362376000
"25",16294,2457,3522,387,348,164,5759,720,25,1,14,5,5,0,0,1295934000
"26",26946,3960,5554,598,739,300,8258,1161,47,4,21,7,13,2,0,2157471000
"27",14465,2276,3319,322,274,51,5441,734,33,0,15,10,7,1,0,1287990000
"28",4103,801,1211,131,83,22,1617,244,5,0,2,1,2,0,0,375303000
"29",1883,333,486,52,29,7,808,136,4,0,2,2,0,0,0,179701000
"3",15745,2152,2785,322,424,365,4893,547,13,0,4,1,7,0,1,1007898000
"31",14442,2581,3806,394,319,68,5390,897,30,0,13,7,10,0,0,1364584000
"32",20916,3649,5445,536,467,121,7744,1266,34,0,14,7,10,3,0,1827534000
"33",15601,2626,3860,412,257,61,5598,813,43,1,25,11,6,0,0,1570932000
"34",15794,2655,3893,335,313,64,5822,869,30,1,11,5,13,0,0,1349646000
"35",8104,1139,1514,111,142,64,2220,215,17,0,5,3,9,0,0,607022000
"36",2242,289,397,32,16,11,523,51,1,0,1,0,0,0,0,120890000
"39",16461,2316,2908,298,425,423,5079,582,15,3,7,0,5,0,0,1037646000
"4",19498,3005,4115,402,479,402,6676,958,25,1,9,4,10,1,0,1430726000
"40",18781,2257,2844,274,400,453,5385,498,6,2,1,0,3,0,0,933639000
"5",27417,4479,6465,645,835,428,8850,1386,24,0,10,4,10,0,0,2017345000
"55",892,92,113,13,12,9,200,16,0,0,0,0,0,0,0,38791000
"6",26384,4235,6017,681,723,318,9104,1335,31,2,13,4,11,1,0,2067586000
"77",1511,197,284,44,14,1,220,30,5,0,2,0,3,0,0,154955000
"78",6262,904,1339,130,127,43,2379,283,3,0,2,0,1,0,0,401211000
"8",17828,3038,4456,447,463,129,7633,1312,25,0,7,5,12,1,0,1480495000
"9",33992,5333,7425,793,1006,701,10600,1609,47,3,14,13,17,0,0,2645592000
