"senate_district","total_crashes","crashes_with_injuries","sum_injuries","sum_injuries_incapacitating","pedestrian_crashes","cyclists_crashes","hit_and_run_crashes","injuries_in_hit_and_run","total_fatalities","total_cyclist_fatalities","total_driver_fatalities","total_passenger_fatalities","total_pedestrian_fatalities","total_motorcyclist_fatalities","total_scooter_fatalities","estimated_economic_damages"
"1",22258,2773,3771,401,426,197,7037,808,30,3,11,4,12,0,0,1504904000
"10",26964,3440,4419,563,465,354,6368,570,35,5,13,7,7,3,0,1856809000
"11",17741,2218,3073,263,280,150,4685,445,34,5,11,4,9,5,0,1280998000
"12",34265,4528,6049,664,824,516,10714,1233,43,0,16,7,19,1,0,2343038000
"13",43239,6417,9076,985,1087,464,14017,1881,72,5,35,12,18,2,0,3453405000
"14",18567,3077,4530,453,357,73,7058,978,38,0,17,11,9,1,0,1663293000
"15",1883,333,486,52,29,7,808,136,4,0,2,2,0,0,0,179701000
"16",35357,6230,9251,930,786,189,13134,2163,64,0,27,14,20,3,0,3192118000
"17",31394,5281,7753,747,570,125,11420,1682,73,2,36,16,19,0,0,2920578000
"18",10345,1428,1911,143,158,75,2743,266,18,0,6,3,9,0,0,727912000
"2",35242,5157,6900,724,903,767,11569,1505,38,1,13,5,17,1,1,2438624000
"20",35241,4573,5752,572,825,876,10464,1080,21,5,8,0,8,0,0,1971285000
"28",892,92,113,13,12,9,200,16,0,0,0,0,0,0,0,38791000
"3",53800,8714,12482,1326,1558,746,17954,2721,55,2,23,8,21,1,0,4084931000
"39",7772,1101,1623,174,141,44,2599,313,8,0,4,0,4,0,0,556166000
"4",17828,3038,4456,447,463,129,7633,1312,25,0,7,5,12,1,0,1480495000
"5",67172,11297,16106,1661,1862,1475,22214,3884,99,8,35,20,35,1,0,5542400000
"6",26417,3613,4369,499,831,1065,6672,774,21,0,8,5,7,1,0,1611749000
"7",26049,3136,3832,407,747,757,7028,575,20,3,6,3,7,1,0,1453896000
"8",19538,2440,3132,376,379,356,4603,411,16,1,7,2,6,0,0,1191689000
"9",1113,128,171,22,20,19,325,25,4,0,0,1,3,0,0,106256000
